season,matchnumber,venue,dateandtime,winningteam,firstteam,secondteam,link
2009,MATCH 10,"Newlands, Cape Town","APR, THU 23 , 8:00 pm IST",ROYALS WON THE ONE-OVER ELIMINATOR,"KKR
150/8
(20 OV)","RR
150/6
(20 OV )",https://www.iplt20.com/match/2009/10068
2009,MATCH 9,"Kingsmead, Durban","APR, THU 23 , 4:00 pm IST",DELHI DAREDEVILS WON BY 9 RUNS,15/1,SUPER OVER - 1,https://www.iplt20.com/match/2009/10067
2009,MATCH 8,"Newlands, Cape Town","APR, WED 22 , 8:00 pm IST",DECCAN CHARGERS WON BY 24 RUNS,"CSK
180/9
(20 OV)","DD
189/5
(20 OV )",https://www.iplt20.com/match/2009/10066
2009,MATCH 7,"Kingsmead, Durban","APR, TUE 21 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,"RCB
160/8
(20 OV)","DEC
184/6
(20 OV )",https://www.iplt20.com/match/2009/10065
2009,MATCH 6,"Kingsmead, Durban","APR, TUE 21 , 4:00 pm IST",KKR WON BY 11 RUNS (D/L METHOD),MI,RR,https://www.iplt20.com/match/2009/10064
2009,MATCH 5,Port Elizabeth,"APR, MON 20 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 92 RUNS,"PBKS
158/6
(20 OV)","KKR
79/1
(9.2 OV )",https://www.iplt20.com/match/2009/10063
2009,MATCH 4,"Newlands, Cape Town","APR, SUN 19 , 8:00 pm IST",DECCAN CHARGERS WON BY 8 WICKETS,"RCB
87
(15.2 OV)","CSK
179/5
(20 OV )",https://www.iplt20.com/match/2009/10062
2009,MATCH 3,"Newlands, Cape Town","APR, SUN 19 , 4:00 pm IST",DD WON BY 10 WICKETS (D/L METHOD),"DEC
104/2
(13.1 OV)","KKR
101
(19.4 OV )",https://www.iplt20.com/match/2009/10061
2009,MATCH 2,"Newlands, Cape Town","APR, SAT 18 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 75 RUNS,"DD
58/0
(4.5 OV)","PBKS
104/7
(12 OV )",https://www.iplt20.com/match/2009/10060
2009,MATCH 1,"Newlands, Cape Town","APR, SAT 18 , 4:00 pm IST",MUMBAI INDIANS WON BY 19 RUNS,"RCB
133/8
(20 OV)","RR
58
(15.1 OV )",https://www.iplt20.com/match/2009/10059
2010,MATCH 60,"DY Patil Stadium, NAVI MUMBAI","APR, SUN 25 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 22 RUNS,"CSK
168/5
(20 OV)","MI
146/9
(20 OV )",https://www.iplt20.com/match/2010/10177
2010,MATCH 59,"DY Patil Stadium, NAVI MUMBAI","APR, SAT 24 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,"RCB
86/1
(13.5 OV)","DEC
82
(18.3 OV )",https://www.iplt20.com/match/2010/10176
2010,MATCH 58,"DY Patil Stadium, NAVI MUMBAI","APR, THU 22 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 38 RUNS,"CSK
142/7
(20 OV)","DEC
104
(19.2 OV )",https://www.iplt20.com/match/2010/10175
2010,MATCH 57,"DY Patil Stadium, NAVI MUMBAI","APR, WED 21 , 8:00 pm IST",MUMBAI INDIANS WON BY 35 RUNS,"RCB
149/9
(20 OV)","MI
184/5
(20 OV )",https://www.iplt20.com/match/2010/10174
2010,MATCH 56,"Eden Gardens, Kolkata","APR, MON 19 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 9 WICKETS,"KKR
135/1
(17.3 OV)","MI
133/8
(20 OV )",https://www.iplt20.com/match/2010/10173
2010,MATCH 55,"Arun Jaitley Stadium, Delhi","APR, SUN 18 , 8:00 pm IST",DECCAN CHARGERS WON BY 11 RUNS,"DD
134/7
(20 OV)","DEC
145/7
(20 OV )",https://www.iplt20.com/match/2010/10172
2010,MATCH 54,"HPCA Stadium, Dharamsala","APR, SUN 18 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 6 WICKETS,"PBKS
192/3
(20 OV)","CSK
195/4
(19.4 OV )",https://www.iplt20.com/match/2010/10171
2010,MATCH 53,"Eden Gardens, Kolkata","APR, SAT 17 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,"KKR
133/2
(16.1 OV)","RR
132/9
(20 OV )",https://www.iplt20.com/match/2010/10170
2010,MATCH 52,"M. Chinnaswamy Stadium, Bengaluru","APR, SAT 17 , 4:00 pm IST",MUMBAI INDIANS WON BY 57 RUNS,"RCB
134/9
(20 OV)","MI
191/4
(20 OV )",https://www.iplt20.com/match/2010/10169
2010,MATCH 51,"HPCA Stadium, Dharamsala","APR, FRI 16 , 8:00 pm IST",DECCAN CHARGERS WON BY 5 WICKETS,"PBKS
174/3
(20 OV)","DEC
178/5
(19.1 OV )",https://www.iplt20.com/match/2010/10168
2010,MATCH 50,"M. A. Chidambaram Stadium, Chennai","APR, THU 15 , 8:00 pm IST",DELHI DAREDEVILS WON BY 6 WICKETS,"CSK
112/9
(20 OV)","DD
113/4
(18.4 OV )",https://www.iplt20.com/match/2010/10167
2010,MATCH 49,"Sawai Mansingh Stadium, Jaipur","APR, WED 14 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,"RR
130/6
(20 OV)","RCB
132/5
(15.4 OV )",https://www.iplt20.com/match/2010/10166
2010,MATCH 48,"M. A. Chidambaram Stadium, Chennai","APR, TUE 13 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 9 WICKETS,"CSK
143/1
(13.3 OV)","KKR
139/8
(20 OV )",https://www.iplt20.com/match/2010/10165
2010,MATCH 47,"Brabourne Stadium, Mumbai","APR, TUE 13 , 4:00 pm IST",MUMBAI INDIANS WON BY 39 RUNS,"MI
183/4
(20 OV)","DD
144/7
(20 OV )",https://www.iplt20.com/match/2010/10164
2010,MATCH 46,"Vidarbha Cricket Association Stadium, Nagpur","APR, MON 12 , 8:00 pm IST",DECCAN CHARGERS WON BY 13 RUNS,"DEC
151/6
(20 OV)","RCB
138
(19.4 OV )",https://www.iplt20.com/match/2010/10163
2010,MATCH 45,"Sawai Mansingh Stadium, Jaipur","APR, SUN 11 , 8:00 pm IST",MUMBAI INDIANS WON BY 37 RUNS,"RR
137/8
(20 OV)","MI
174/5
(20 OV )",https://www.iplt20.com/match/2010/10162
2010,MATCH 44,"Arun Jaitley Stadium, Delhi","APR, SUN 11 , 4:00 pm IST",PUNJAB KINGS WON BY 7 WICKETS,"DD
111
(19.4 OV)","PBKS
112/3
(18.4 OV )",https://www.iplt20.com/match/2010/10161
2010,MATCH 43,"M. Chinnaswamy Stadium, Bengaluru","APR, SAT 10 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,"RCB
162/3
(17.1 OV)","KKR
160/9
(20 OV )",https://www.iplt20.com/match/2010/10160
2010,MATCH 42,"Vidarbha Cricket Association Stadium, Nagpur","APR, SAT 10 , 4:00 pm IST",DECCAN CHARGERS WON BY 6 WICKETS,"DEC
139/4
(19.1 OV)","CSK
138/8
(20 OV )",https://www.iplt20.com/match/2010/10159
2010,MATCH 41,"IS Bindra Stadium, Mohali","APR, FRI 9 , 8:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,"PBKS
158/4
(19.2 OV)","MI
154/9
(20 OV )",https://www.iplt20.com/match/2010/10158
2010,MATCH 40,"M. Chinnaswamy Stadium, Bengaluru","APR, THU 8 , 8:00 pm IST",DECCAN CHARGERS WON BY 7 WICKETS,"RCB
184/6
(20 OV)","DEC
186/3
(19.2 OV )",https://www.iplt20.com/match/2010/10157
2010,MATCH 39,"Eden Gardens, Kolkata","APR, WED 7 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 14 RUNS,"KKR
181/3
(20 OV)","DD
167/8
(20 OV )",https://www.iplt20.com/match/2010/10156
2010,MATCH 38,"Sawai Mansingh Stadium, Jaipur","APR, WED 7 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 9 WICKETS,"RR
157/1
(15 OV)","PBKS
153/6
(20 OV )",https://www.iplt20.com/match/2010/10155
